month,revenue,mom_growth_pct,rolling_3_month_avg,z_score,anomaly
2025-01,36628557.94,,,-0.6205182326898419,False
2025-02,33543730.1,-8.421919981270209,,-2.138446810798311,True
2025-03,37393836.56,11.477872164252844,35855374.86666667,-0.24395320288467123,False
2025-04,35783695.03,-4.305900859935729,35573753.89666667,-1.036243719552953,False
2025-05,40856037.95,14.17501159605652,38011189.84666667,1.4596668062785865,False
2025-06,39059099.39,-4.398220312500967,38566277.45666667,0.5754604470254597,False
2025-07,41618124.22,6.551673924809354,40511087.18666667,1.8346609998660905,False
2025-08,40602219.71,-2.4410146517650944,40426481.10666666,1.3347723291394027,False
2025-09,36247255.24,-10.725927057942119,39489199.72333334,-0.8081430517267169,False
2025-10,38964189.54,7.49555871751022,38604554.830000006,0.5287588542198819,False
2025-11,38329729.4,-1.6283160191197465,37847058.06,0.21656471304644692,False
2025-12,37707371.04,-1.6236962006833222,38333763.32666666,-0.08967459412627328,False
2026-01,37505629.74,-0.5350182058197261,37847576.72666667,-0.18894395388890753,False
2026-02,34567257.38,-7.834483463868369,36593419.38666666,-1.634807259624644,False
2026-03,38563273.71,11.560119699609217,36878720.27666667,0.3314831463563679,False
2026-04,38601229.39,0.09842442393617201,37243920.16,0.3501597190410658,False
2026-05,36694662.37,-4.939135489021284,37953055.156666666,-0.5879907113366338,False
2026-06,39519149.79,7.697270495420017,38271680.51666666,0.8018340684234795,False
2026-07,38687869.65,-2.103486902975704,38300560.60333333,0.39279215543296025,False
2026-08,36919347.19,-4.571258319466553,38375455.54333333,-0.4774317022007599,False
