customer_id,customer_name,region,segment
1,Customer_1,East,Consumer
2,Customer_2,West,Enterprise
3,Customer_3,North,Enterprise
4,Customer_4,East,Consumer
5,Customer_5,East,Enterprise
6,Customer_6,West,Consumer
7,Customer_7,North,SMB
8,Customer_8,North,Enterprise
9,Customer_9,East,SMB
10,Customer_10,South,Consumer
11,Customer_11,East,SMB
12,Customer_12,East,SMB
13,Customer_13,East,Consumer
14,Customer_14,East,SMB
15,Customer_15,West,SMB
16,Customer_16,North,Consumer
17,Customer_17,West,SMB
18,Customer_18,West,Consumer
19,Customer_19,West,SMB
20,Customer_20,East,Consumer
21,Customer_21,South,Consumer
22,Customer_22,North,SMB
23,Customer_23,South,SMB
24,Customer_24,West,SMB
25,Customer_25,West,Enterprise
26,Customer_26,South,Enterprise
27,Customer_27,South,Enterprise
28,Customer_28,South,Consumer
29,Customer_29,West,SMB
30,Customer_30,West,Consumer
31,Customer_31,North,Enterprise
32,Customer_32,North,SMB
33,Customer_33,West,Consumer
34,Customer_34,South,SMB
35,Customer_35,South,Consumer
36,Customer_36,North,SMB
37,Customer_37,West,Enterprise
38,Customer_38,North,Enterprise
39,Customer_39,North,SMB
40,Customer_40,East,Consumer
41,Customer_41,East,Enterprise
42,Customer_42,East,Enterprise
43,Customer_43,South,Enterprise
44,Customer_44,West,SMB
45,Customer_45,West,SMB
46,Customer_46,West,Consumer
47,Customer_47,West,Consumer
48,Customer_48,East,Consumer
49,Customer_49,South,SMB
50,Customer_50,South,SMB
51,Customer_51,East,Consumer
52,Customer_52,South,Consumer
53,Customer_53,East,SMB
54,Customer_54,West,Consumer
55,Customer_55,East,Enterprise
56,Customer_56,West,SMB
57,Customer_57,West,Consumer
58,Customer_58,North,SMB
59,Customer_59,East,Enterprise
60,Customer_60,North,SMB
61,Customer_61,East,SMB
62,Customer_62,East,SMB
63,Customer_63,North,SMB
64,Customer_64,North,Enterprise
65,Customer_65,East,SMB
66,Customer_66,South,SMB
67,Customer_67,West,Consumer
68,Customer_68,North,SMB
69,Customer_69,West,Consumer
70,Customer_70,South,Enterprise
71,Customer_71,South,Enterprise
72,Customer_72,South,Enterprise
73,Customer_73,North,Enterprise
74,Customer_74,South,Consumer
75,Customer_75,North,SMB
76,Customer_76,South,Enterprise
77,Customer_77,West,SMB
78,Customer_78,West,Consumer
79,Customer_79,East,Consumer
80,Customer_80,West,Consumer
81,Customer_81,East,Enterprise
82,Customer_82,West,SMB
83,Customer_83,North,SMB
84,Customer_84,West,SMB
85,Customer_85,East,Consumer
86,Customer_86,East,Enterprise
87,Customer_87,South,Consumer
88,Customer_88,North,Consumer
89,Customer_89,West,SMB
90,Customer_90,South,Consumer
91,Customer_91,West,SMB
92,Customer_92,West,Enterprise
93,Customer_93,South,SMB
94,Customer_94,South,Enterprise
95,Customer_95,South,SMB
96,Customer_96,South,Consumer
97,Customer_97,South,Consumer
98,Customer_98,West,Enterprise
99,Customer_99,South,Enterprise
100,Customer_100,North,Enterprise
101,Customer_101,East,SMB
102,Customer_102,South,SMB
103,Customer_103,South,Enterprise
104,Customer_104,West,Consumer
105,Customer_105,South,SMB
106,Customer_106,South,SMB
107,Customer_107,South,SMB
108,Customer_108,West,Enterprise
109,Customer_109,South,Enterprise
110,Customer_110,East,Enterprise
111,Customer_111,West,Enterprise
112,Customer_112,East,Enterprise
113,Customer_113,West,Consumer
114,Customer_114,South,Consumer
115,Customer_115,East,Enterprise
116,Customer_116,West,SMB
117,Customer_117,North,Enterprise
118,Customer_118,South,Consumer
119,Customer_119,West,Consumer
120,Customer_120,North,SMB
121,Customer_121,West,Consumer
122,Customer_122,North,Enterprise
123,Customer_123,South,SMB
124,Customer_124,East,Enterprise
125,Customer_125,North,Enterprise
126,Customer_126,West,SMB
127,Customer_127,South,Enterprise
128,Customer_128,North,Consumer
129,Customer_129,West,Enterprise
130,Customer_130,West,SMB
131,Customer_131,West,SMB
132,Customer_132,North,SMB
133,Customer_133,North,Enterprise
134,Customer_134,North,SMB
135,Customer_135,East,SMB
136,Customer_136,North,Enterprise
137,Customer_137,North,Consumer
138,Customer_138,North,Enterprise
139,Customer_139,East,SMB
140,Customer_140,North,SMB
141,Customer_141,West,Enterprise
142,Customer_142,North,Consumer
143,Customer_143,West,SMB
144,Customer_144,West,SMB
145,Customer_145,West,SMB
146,Customer_146,East,Enterprise
147,Customer_147,East,SMB
148,Customer_148,East,Consumer
149,Customer_149,North,SMB
150,Customer_150,West,SMB
151,Customer_151,East,Consumer
152,Customer_152,East,SMB
153,Customer_153,North,Enterprise
154,Customer_154,East,Enterprise
155,Customer_155,North,Enterprise
156,Customer_156,South,Consumer
157,Customer_157,East,SMB
158,Customer_158,South,Enterprise
159,Customer_159,North,Consumer
160,Customer_160,West,SMB
161,Customer_161,East,Consumer
162,Customer_162,North,Enterprise
163,Customer_163,West,Enterprise
164,Customer_164,West,Enterprise
