product_id,product_name,category,unit_price
1,Product_1,Food,489.08
2,Product_2,Agriculture,647.15
3,Product_3,Consumer,2330.85
4,Product_4,Consumer,1071.35
5,Product_5,Consumer,1853.14
6,Product_6,Agriculture,2541.92
7,Product_7,Food,3467.45
8,Product_8,Food,244.6
9,Product_9,Agriculture,4007.08
10,Product_10,Food,3158.11
11,Product_11,Agriculture,454.71
12,Product_12,Food,4374.21
13,Product_13,Industrial,4608.32
14,Product_14,Industrial,352.34
15,Product_15,Consumer,1420.54
16,Product_16,Industrial,4040.7
17,Product_17,Industrial,3753.89
18,Product_18,Industrial,963.38
19,Product_19,Agriculture,1086.28
20,Product_20,Industrial,1883.84
21,Product_21,Industrial,2448.39
22,Product_22,Consumer,3110.36
23,Product_23,Industrial,1876.12
24,Product_24,Industrial,2339.55
25,Product_25,Food,3749.98
26,Product_26,Consumer,231.58
27,Product_27,Consumer,1299.56
28,Product_28,Consumer,3581.08
29,Product_29,Consumer,4481.27
30,Product_30,Consumer,2582.8
31,Product_31,Consumer,2683.96
32,Product_32,Agriculture,580.5
33,Product_33,Industrial,2264.69
34,Product_34,Consumer,2686.46
35,Product_35,Industrial,1250.23
36,Product_36,Industrial,1382.75
37,Product_37,Agriculture,1917.56
38,Product_38,Consumer,149.35
39,Product_39,Food,1644.29
40,Product_40,Agriculture,1096.67
41,Product_41,Food,1671.11
42,Product_42,Industrial,642.82
43,Product_43,Industrial,4458.11
44,Product_44,Agriculture,2988.28
45,Product_45,Agriculture,3411.56
46,Product_46,Food,3956.4
47,Product_47,Consumer,2517.29
48,Product_48,Food,480.26
49,Product_49,Agriculture,2708.68
50,Product_50,Food,2954.86
